epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,248.275,1.53144,0.75319,0.95122,0.80933,0.00333222,0.00333222,0.00333222
2,503.036,0.89297,0.81147,0.97263,0.59397,0.00633561,0.00633561,0.00633561
3,752.528,0.98552,0.80998,0.97088,0.60443,0.009009,0.009009,0.009009
4,1009.07,1.01742,0.83285,0.97704,0.52109,0.008515,0.008515,0.008515
5,1267.09,0.92795,0.84461,0.97981,0.47731,0.00802,0.00802,0.00802
6,1521.9,0.88462,0.85146,0.9813,0.45797,0.007525,0.007525,0.007525
7,1776.79,0.85013,0.85429,0.98183,0.45107,0.00703,0.00703,0.00703
8,2036.35,0.82358,0.85667,0.98139,0.44408,0.006535,0.006535,0.006535
9,2288.35,0.78828,0.85899,0.98201,0.43798,0.00604,0.00604,0.00604
10,2544.2,0.75925,0.86069,0.98261,0.43295,0.005545,0.005545,0.005545
