epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1143.71,1.58224,0.78794,0.96867,0.67146,0.00333222,0.00333222,0.00333222
2,2621.74,0.91562,0.80277,0.97067,0.62458,0.00600566,0.00600566,0.00600566
3,3553.68,0.99828,0.80205,0.97082,0.62082,0.00801911,0.00801911,0.00801911
4,4285.02,0.99779,0.83082,0.97677,0.52438,0.00703,0.00703,0.00703
5,5000.6,0.88536,0.84726,0.98017,0.4738,0.00604,0.00604,0.00604
6,5715.3,0.80881,0.85414,0.98192,0.44982,0.00505,0.00505,0.00505
7,6431.09,0.73975,0.85899,0.98261,0.43555,0.00406,0.00406,0.00406
8,7145.74,0.66326,0.86251,0.98341,0.42394,0.00307,0.00307,0.00307
9,7863.63,0.58991,0.86549,0.9841,0.41261,0.00208,0.00208,0.00208
10,8585.97,0.50501,0.86909,0.98484,0.40157,0.00109,0.00109,0.00109
